setting,reg_type,reg_lambda,Accuracy,Precision,Recall,F1-score,loss_curve_path
No Regularization,none,0.0,0.72,0.7125,0.75,0.7307692307692307,report_assets/real_world_classification/q5_loss_no_regularization.png
L2 (lambda=0.01),l2,0.01,0.72,0.7125,0.75,0.7307692307692307,report_assets/real_world_classification/q5_loss_l2_lambda_0.01.png
L2 (lambda=1),l2,1.0,0.74,0.7341772151898734,0.7631578947368421,0.7483870967741936,report_assets/real_world_classification/q5_loss_l2_lambda_1.png
L2 (lambda=100),l2,100.0,0.5066666666666667,0.5066666666666667,1.0,0.672566371681416,report_assets/real_world_classification/q5_loss_l2_lambda_100.png
